21.1,95.5,995.7,mid
22.5,74.3,989.3,mid
24.3,69.3,993.6,mid
25.4,69.3,997.4,mid
24.3,86.4,998.6,mid
24.4,84.8,1000.5,mid
23.7,95.8,1002,mid
25.3,85.5,1003.4,high
26.2,81.9,1003.9,high
25.3,90.9,1000.5,high
24.9,96.3,997.8,high
25,96.3,998.4,high
27,89.3,1000.9,high
26.5,92.1,1000.8,high
24.1,92.8,995.4,high
24.3,85.3,996.9,mid
24.2,89.5,993.2,high
24.9,95.4,992.5,high
26.5,91.6,993.8,high
24.6,92.5,999.6,high
27.2,83.9,1002.7,high
28,82.4,999.3,high
27.1,86.1,995.8,high
26.1,96,998.7,high
27.4,82.6,1001,high
28.2,77.9,1003.7,high
27.5,76.3,1003.2,high
27.1,76.8,1001.7,high
27.7,76,1002.4,high
26.6,83.1,1003.9,high
24.3,87.4,1002.5,high
25.3,78.4,998.7,high
27.8,71.6,995.2,high
29.9,69.5,995,high
30.2,68.3,992.2,high
27.1,84.6,991.3,high
27.3,89.1,997.3,high
26.8,90.1,999.2,high
26.8,88.8,1001.6,high
26.4,77.9,1002.4,high
26.6,72.4,999.4,high
24.3,91.3,993.7,high
22.7,82,987.3,mid
23.3,63.9,1002.2,mid
23.3,66.6,1003.5,mid
21.7,80,999.3,mid
19.2,93.5,983.1,mid
23.4,71.5,998.7,mid
21.1,83.4,999.9,mid
22.8,75.8,999.1,mid
22.4,72.6,1004.5,mid
20.2,83.8,1005.1,low
21.5,70.4,1005.7,mid
21.3,79.3,1004.4,mid
23,76.4,1002.6,mid
22.5,79.9,999.6,mid
21.3,70.3,1000.2,mid
21.5,62,1002.7,mid
21.2,59.3,1004.9,low
19.7,57.6,1007,low
19.1,56.1,1008.1,low
20.2,55.3,1008.7,low
19.2,59.9,1008.2,low
20.6,59.6,1005.3,low
20.1,64.1,1003.7,low
19.3,62.5,1006.7,low
20.4,63.3,1008.5,low
20.7,66,1006.5,low
19.6,67.6,1001.6,low
19.6,78,1000.6,low
18.8,74.9,1003.4,low
19.2,79.6,1004.6,low
19.9,72.5,1004.9,low
16.6,65.1,1002.7,low
13.3,57.3,1007.9,low
14.2,55.9,1012.2,low
16,48.9,1015.8,low
17.2,53,1016.7,low
17.2,53.4,1013.2,low
16.9,60.1,1009.7,low
16.9,68.5,1006.1,low
16.2,68.6,1005.2,low
13.6,52.3,1010.7,low
12.8,47,1014.6,low
11.7,41.8,1015.8,low
11.8,64.3,1013.7,low
13.1,64.3,1013,low
13.6,65.5,1013.6,low
15.1,74.4,1014.7,low
15.2,67.1,1015.4,low
14.1,69.4,1008.6,low
13.5,66,1003.5,low
8.6,51.5,1004.9,low
8.7,47.6,1008.7,low
11.8,62.5,1009.9,low
12.9,71.6,1009.8,low
14,74.1,1010.9,low
13.8,52.1,1012.6,low
10.8,40.3,1013.7,low
11.9,42.9,1015.2,low
13.6,60.3,1013.9,low
13.7,84.3,1009.2,low
10.8,58.3,1010.1,low
5.1,47.5,1011.9,low
4.9,43.9,1015.2,low
9.6,61.5,1016.7,low
13.5,63.3,1010.9,low
14.6,68.8,1007.6,low
8.5,43.8,1012.3,low
5.5,40.9,1015.2,low
7.7,56.1,1017.9,low
9.3,53.5,1021.3,low
10.4,56.9,1019.9,low
12.2,71.5,1018.2,low
12.5,66.9,1018.9,low
11.1,75,1017.1,low
12.4,70.1,1015.9,low
15.9,67.5,1013.2,low
16.6,91.4,1005.5,low
13.6,90.5,998,low
2.8,74.3,1009.3,low
6.5,67.9,1013.1,low
5.6,80.5,1012.4,low
1.7,61.4,1017.8,low
2.9,54.5,1018,low
4.6,64.1,1017,low
5.6,66.5,1016.5,low
4.1,61.6,1015.4,low
-0.1,50,1018.3,low
-0.6,59.6,1019.3,low
-0.2,57.8,1024.1,low
1.1,44.5,1024.7,low
2.4,41.4,1020.2,low
0.7,47.1,1019.1,low
-0.6,53.8,1019.6,low
2.1,63.1,1019.1,low
4.5,66.9,1017.4,low
3.4,57.5,1017.6,low
-0.5,50,1018.2,low
1.5,55.1,1015.9,low
5.8,69.9,1011.8,low
5.3,77.1,1009.1,low
2.3,51.3,1009,low
-1.1,74.9,1008.4,low
-7.7,49.1,1018.3,low
-8.3,43,1020.5,low
-8.3,43.9,1020.6,low
-4.9,47,1019.6,low
-2.1,57,1017.7,low
-5.1,45.1,1022.4,low
-3.7,50.4,1021.6,low
-1,64.1,1018.4,low
2,67.6,1015.3,low
4.5,76.6,1011.3,low
2.6,61.5,1007.8,low
-0.8,51.9,1012.8,low
2.2,65.8,1013.5,low
5.8,62.9,1011,low
6.7,72.1,1012.6,low
0.1,70.8,1011,low
-10.9,55.5,1012.5,low
-8.9,53.9,1015.4,low
